key,en,sw
skip,Skip,Ruka
next,Next,Ifuatayo
introTitle1,Enjoy content that matches your interests.,Furahia maudhui yanayolingana na mambo yanayokuvutia.
introTitle2,Share your skills and talent with the world.,Shiriki ujuzi na talanta yako na ulimwengu.
introTitle3,Join Challenges to earn points and win prizes.,Jiunge na Changamoto ili kupata pointi na kushinda zawadi.
username,Username,Jina la mtumiaji
email,Email,Barua Pepe
phone,Phone,Simu
password,Password,Nenosiri
continueWith,Continue with,Endelea na
signupWith,Signup with,Jisajili na
loginWith,Login with,Ingia na
privacyPolicy,Privacy Policy,Sera ya Faragha
termsOfUse,Terms of use,Masharti ya matumizi
and,and,na
or,or,ama
policyAgreement,By joining you agree to our,Kwa kujiunga unakubali
register,Register,Sajili
show,Show,Onyesha
hide,Hide,Ficha
theme,Theme,Mandhari
language,Language,Lugha
login,Login,Ingia
loginToggle,Already have an account?,"Je, tayari una akaunti?"
signupToggle,Don't have an account?,"Je, huna akaunti?"
forgotPassword,Forgot Password?,Umesahau Nenosiri?
recoverAccount,Recover Account,Rejesha Akaunti
recoverAccountTitle,Select the account to recover. Recover using either email or phone.,Chagua akaunti ya kurejesha. Rejesha kwa kutumia barua pepe au simu.
recoveryCode,Recovery Code,Nambari ya uokoaji
recoveryCodeTitle,A code has been sent to {email}. Please enter the code below.,Nambari imetumwa kwa {email}. Tafadhali ingiza nambari hapa chini.
resendCode,"{count, plural, =0{Resend code} other{Resend code in {count}}}","{count, plural, =0{Tuma tena msimbo} other{Tuma tena msimbo baada ya {count}}}"
resetPassword,Reset Password,Rudisha Nenosiri
resetPasswordTitle,Please enter your new password. Be sure to remember this one.,Tafadhali ingiza nenosiri yako mpya. Hakikisha kukumbuka hii.
passwordDescription,Minimum of 6 characters.,Kiwango cha chini cha herufi 6.
confirmPassword,Confirm Password,Thibitisha Nenosiri
showPassword,Show Password,Onyesha Nenosiri
reset,Reset,Rudisha
confirm,Confirm,Thibitisha
systemDefault,System Default,Chaguomsingi ya Mfumo
lightTheme,Light Theme,Mandhari ya Mwanga
darkTheme,Dark Theme,Mandhari ya Giza
home,Home,Nyumbani
challenges,"{count, plural, =0{Challenges} =1{Challenge} other{Challenges}}",Changamoto
activity,Activity,Shughuli
account,Account,Akaunti
following,Following,Kufuatia
discover,Discover,Gundua
forYou,For You,Kwa ajili yako
trending,Trending,Mwelekeo
recent,Recent,Hivi karibuni
challengesTitle,Join Challenges\nAnd Earn Points,Jiunge na changamoto\nna upate alama
searchPulsar,Search Pulsar,Tafuta Pulsar
searchUsers,Search Users,Tafuta Watumiaji
searchChallenges,Search Challenges,Tafuta Changamota
searchCategories,Search Categories,Tafuta Kategoria
search,Search,Tafuta
noContent,No Content,Hakuna yaliyomo
noResults,No results found,Hakuna matokeo yaliyopatikana
noVideos,There are no videos here,Hakuna video hapa
noActivity,You have no Activity,Huna shughuli
noParticipants,There are no participants,Hakuna washiriki
noConnection,No connection,Hakuna muunganisho
tapToRetry,Tap to retry,Bonyeza kujaribu tena
top3Chart,Top 3 Chart,Chati ya juu 3
newHighlight,New Highlight,Kuonyesha mpya
pins,"{count, plural, =0{Pins} =1{Pin} other{Pins}}",Pini
pinned,Pinned,Iliyoandikwa
join,Join,Jiunge
posts,"{count, plural, =0{Posts} =1{Post} other{Posts}}","{count, plural, =0{Machapisho} =1{Chapisho} other{Machapisho}}"
shareChallenge,Share challenge with,Shiriki changamoto na
message,Message,Ujumbe
copyLink,Copy link,Nakili kiunga
more,More,Zaidi
postNotifications,Posts Notifications,Machapisho arifa
report,Report,Ripoti
originalAudio,Original Audio,Sauti ya asili
makeAComment,Make a comment,Toa maoni
replyingTo,replying to,Kujibu
download,Download,Pakua
notInterested,Not Interested,Sio nia
block,Block,Block
leaderboard,Leaderboard,Ubao wa kiongozi
you,You,Wewe
points,Points,Vidokezo
all,All,Zote
